Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Wandsworth,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic Abuse,Jun-03,Murder,Solved,Wandsworth,Asian
1,45 to 54,Male,"Physical Assault, no weapon",Not Domestic Abuse,Sep-03,Murder,Solved,Greenwich,Asian
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Kingston Upon Thames,White
1,0 to 12,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jun-03,Murder,Solved,Hounslow,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Hounslow,Asian
1,0 to 12,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jan-03,Murder,Solved,Richmond Upon Thames,White
1,13 to19,Female,Not known/Not Recorded,Not Domestic Abuse,Feb-03,Murder,Solved,Richmond Upon Thames,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Richmond Upon Thames,Other
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Hillingdon,Asian
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Hillingdon,White
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,Jun-03,Murder,Solved,Hillingdon,Asian
1,45 to 54,Female,Other Methods of Killing,Domestic Abuse,Jul-03,Murder,Solved,Hillingdon,White
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,Dec-03,Murder,Solved,Hillingdon,White
1,55 to 64,Male,Not known/Not Recorded,Not Domestic Abuse,Jan-03,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Shooting,Not Domestic Abuse,Feb-03,Murder,Unsolved,Lambeth,Black
1,45 to 54,Female,Other Methods of Killing,Not Domestic Abuse,Feb-03,Murder,Unsolved,Lambeth,Black
1,65 and over,Female,Other Methods of Killing,Not Domestic Abuse,Mar-03,Murder,Unsolved,Lambeth,Black
1,13 to19,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Unsolved,Lambeth,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Apr-03,Murder,Unsolved,Lambeth,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Solved,Lambeth,Black
1,45 to 54,Male,Not known/Not Recorded,Not Domestic Abuse,May-03,Murder,Solved,Hounslow,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Unsolved,Lambeth,Black
1,65 and over,Male,Other Methods of Killing,Not Domestic Abuse,Sep-03,Manslaughter,Solved,Lambeth,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,Sep-03,Murder,Solved,Lambeth,White
1,25 to 34,Male,Shooting,Not Domestic Abuse,Oct-03,Murder,Unsolved,Lambeth,Black
1,25 to 34,Male,"Physical Assault, no weapon",Not Domestic Abuse,Nov-03,Murder,Solved,Lambeth,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic Abuse,Nov-03,Murder,Unsolved,Lambeth,White
1,20 to 24,Male,Shooting,Not Domestic Abuse,Dec-03,Murder,Unsolved,Lambeth,Black
1,65 and over,Male,Other Methods of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Lambeth,White
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian
1,45 to 54,Female,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian
1,0 to 12,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian
1,0 to 12,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Merton,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Brent,Asian
1,25 to 34,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Brent,Black
1,20 to 24,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Unsolved,Brent,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Solved,Brent,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic Abuse,May-03,Murder,Solved,Brent,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Brent,Asian
1,35 to 44,Female,Other Methods of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Brent,Asian
1,35 to 44,Female,Knife or Sharp Implement,Domestic Abuse,Aug-03,Murder,Solved,Westminster,White
1,13 to19,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Brent,Asian
1,35 to 44,Male,Shooting,Not Domestic Abuse,Sep-03,Murder,Solved,Brent,Black
1,0 to 12,Female,Shooting,Not Domestic Abuse,Sep-03,Murder,Solved,Brent,Black
1,45 to 54,Female,Other Methods of Killing,Domestic Abuse,Oct-03,Murder,Solved,Brent,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Harrow,White
1,20 to 24,Male,Not known/Not Recorded,Not Domestic Abuse,Sep-03,Murder,Solved,Harrow,White
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Harrow,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Camden,Black
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Unsolved,Islington,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Camden,Black
1,35 to 44,Female,Not known/Not Recorded,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White
1,25 to 34,Female,Not known/Not Recorded,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White
1,25 to 34,Female,Not known/Not Recorded,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic Abuse,Mar-03,Murder,Solved,Barnet,White
