Date;Survey;Borough;Measure;Proportion
31/12/2014;PAS;MPS;"""Good Job"" local";0,67
31/12/2014;PAS;MPS;Contact ward officer;0,41
31/12/2014;PAS;MPS;Informed local;0,49
31/12/2014;PAS;MPS;Listen to concerns;0,74
31/12/2014;PAS;MPS;Relied on to be there;0,77
31/12/2014;PAS;MPS;Treat everyone fairly;0,74
31/12/2014;PAS;MPS;Understand issues;0,72
31/03/2015;PAS;MPS;"""Good Job"" local";0,67
31/03/2015;PAS;MPS;Contact ward officer;0,42
31/03/2015;PAS;MPS;Informed local;0,47
31/03/2015;PAS;MPS;Listen to concerns;0,74
31/03/2015;PAS;MPS;Relied on to be there;0,77
31/03/2015;PAS;MPS;Treat everyone fairly;0,75
31/03/2015;PAS;MPS;Understand issues;0,73
30/06/2015;PAS;MPS;"""Good Job"" local";0,66
30/06/2015;PAS;MPS;Contact ward officer;0,41
30/06/2015;PAS;MPS;Informed local;0,47
30/06/2015;PAS;MPS;Listen to concerns;0,74
30/06/2015;PAS;MPS;Relied on to be there;0,77
30/06/2015;PAS;MPS;Treat everyone fairly;0,74
30/06/2015;PAS;MPS;Understand issues;0,73
30/09/2015;PAS;MPS;"""Good Job"" local";0,67
30/09/2015;PAS;MPS;Contact ward officer;0,39
30/09/2015;PAS;MPS;Informed local;0,45
30/09/2015;PAS;MPS;Listen to concerns;0,73
30/09/2015;PAS;MPS;Relied on to be there;0,77
30/09/2015;PAS;MPS;Treat everyone fairly;0,74
30/09/2015;PAS;MPS;Understand issues;0,72
31/12/2015;PAS;MPS;"""Good Job"" local";0,67
31/12/2015;PAS;MPS;Contact ward officer;0,38
31/12/2015;PAS;MPS;Informed local;0,43
31/12/2015;PAS;MPS;Listen to concerns;0,73
31/12/2015;PAS;MPS;Relied on to be there;0,77
31/12/2015;PAS;MPS;Treat everyone fairly;0,75
31/12/2015;PAS;MPS;Understand issues;0,71
31/03/2016;PAS;MPS;"""Good Job"" local";0,68
31/03/2016;PAS;MPS;Contact ward officer;0,36
31/03/2016;PAS;MPS;Informed local;0,42
31/03/2016;PAS;MPS;Listen to concerns;0,74
31/03/2016;PAS;MPS;Relied on to be there;0,77
31/03/2016;PAS;MPS;Treat everyone fairly;0,75
31/03/2016;PAS;MPS;Understand issues;0,71
30/06/2016;PAS;MPS;"""Good Job"" local";0,69
30/06/2016;PAS;MPS;Contact ward officer;0,35
30/06/2016;PAS;MPS;Informed local;0,42
30/06/2016;PAS;MPS;Listen to concerns;0,74
30/06/2016;PAS;MPS;Relied on to be there;0,77
30/06/2016;PAS;MPS;Treat everyone fairly;0,75
30/06/2016;PAS;MPS;Understand issues;0,71
30/09/2016;PAS;MPS;"""Good Job"" local";0,69
30/09/2016;PAS;MPS;Contact ward officer;0,36
30/09/2016;PAS;MPS;Informed local;0,42
30/09/2016;PAS;MPS;Listen to concerns;0,75
30/09/2016;PAS;MPS;Relied on to be there;0,78
30/09/2016;PAS;MPS;Treat everyone fairly;0,77
30/09/2016;PAS;MPS;Understand issues;0,72
31/12/2016;PAS;MPS;"""Good Job"" local";0,69
31/12/2016;PAS;MPS;Contact ward officer;0,36
31/12/2016;PAS;MPS;Informed local;0,43
31/12/2016;PAS;MPS;Listen to concerns;0,76
31/12/2016;PAS;MPS;Relied on to be there;0,78
31/12/2016;PAS;MPS;Treat everyone fairly;0,78
31/12/2016;PAS;MPS;Understand issues;0,74
31/03/2017;PAS;MPS;"""Good Job"" local";0,68
31/03/2017;PAS;MPS;Contact ward officer;0,36
31/03/2017;PAS;MPS;Informed local;0,44
31/03/2017;PAS;MPS;Listen to concerns;0,76
31/03/2017;PAS;MPS;Relied on to be there;0,79
31/03/2017;PAS;MPS;Treat everyone fairly;0,79
31/03/2017;PAS;MPS;Understand issues;0,74
30/06/2017;PAS;MPS;"""Good Job"" local";0,69
30/06/2017;PAS;MPS;Contact ward officer;0,32
30/06/2017;PAS;MPS;Informed local;0,44
30/06/2017;PAS;MPS;Listen to concerns;0,76
30/06/2017;PAS;MPS;Relied on to be there;0,78
30/06/2017;PAS;MPS;Treat everyone fairly;0,78
30/06/2017;PAS;MPS;Understand issues;0,74
30/09/2017;PAS;MPS;"""Good Job"" local";0,68
30/09/2017;PAS;MPS;Contact ward officer;0,27
30/09/2017;PAS;MPS;Informed local;0,44
30/09/2017;PAS;MPS;Listen to concerns;0,75
30/09/2017;PAS;MPS;Relied on to be there;0,77
30/09/2017;PAS;MPS;Treat everyone fairly;0,78
30/09/2017;PAS;MPS;Understand issues;0,72
31/12/2017;PAS;MPS;"""Good Job"" local";0,68
31/12/2017;PAS;MPS;Contact ward officer;0,22
31/12/2017;PAS;MPS;Informed local;0,45
31/12/2017;PAS;MPS;Listen to concerns;0,73
31/12/2017;PAS;MPS;Relied on to be there;0,76
31/12/2017;PAS;MPS;Treat everyone fairly;0,77
31/12/2017;PAS;MPS;Understand issues;0,7
31/03/2018;PAS;MPS;"""Good Job"" local";0,67
31/03/2018;PAS;MPS;Contact ward officer;0,16
31/03/2018;PAS;MPS;Informed local;0,44
31/03/2018;PAS;MPS;Listen to concerns;0,72
31/03/2018;PAS;MPS;Relied on to be there;0,74
31/03/2018;PAS;MPS;Treat everyone fairly;0,76
31/03/2018;PAS;MPS;Understand issues;0,7
30/06/2018;PAS;MPS;"""Good Job"" local";0,65
30/06/2018;PAS;MPS;Contact ward officer;0,14
30/06/2018;PAS;MPS;Informed local;0,42
30/06/2018;PAS;MPS;Listen to concerns;0,71
30/06/2018;PAS;MPS;Relied on to be there;0,74
30/06/2018;PAS;MPS;Treat everyone fairly;0,76
30/06/2018;PAS;MPS;Understand issues;0,68
30/09/2018;PAS;MPS;"""Good Job"" local";0,64
30/09/2018;PAS;MPS;Contact ward officer;0,13
30/09/2018;PAS;MPS;Informed local;0,4
30/09/2018;PAS;MPS;Listen to concerns;0,69
30/09/2018;PAS;MPS;Relied on to be there;0,73
30/09/2018;PAS;MPS;Treat everyone fairly;0,76
30/09/2018;PAS;MPS;Understand issues;0,66
31/12/2018;PAS;MPS;"""Good Job"" local";0,62
31/12/2018;PAS;MPS;Contact ward officer;0,13
31/12/2018;PAS;MPS;Informed local;0,38
31/12/2018;PAS;MPS;Listen to concerns;0,69
31/12/2018;PAS;MPS;Relied on to be there;0,73
31/12/2018;PAS;MPS;Treat everyone fairly;0,76
31/12/2018;PAS;MPS;Understand issues;0,65
31/03/2019;PAS;MPS;"""Good Job"" local";0,6
31/03/2019;PAS;MPS;Contact ward officer;0,12
31/03/2019;PAS;MPS;Informed local;0,36
31/03/2019;PAS;MPS;Listen to concerns;0,68
31/03/2019;PAS;MPS;Relied on to be there;0,71
31/03/2019;PAS;MPS;Treat everyone fairly;0,76
31/03/2019;PAS;MPS;Understand issues;0,63
30/06/2019;PAS;MPS;"""Good Job"" local";0,59
