Object of Search,Percentage,Group
Anything to threaten or harm anyone,3.2984147182090835,Best Boroughs
Articles for use in criminal damage,6.89368732486394,Best Boroughs
Controlled drugs,61.08330440727136,Best Boroughs
Evidence of offences under the Act,5.404202195516156,Best Boroughs
Firearms,0.5366740161146238,Best Boroughs
Fireworks,0.5298298768806267,Best Boroughs
Offensive weapons,10.856845903044885,Best Boroughs
Stolen goods,11.397041558099323,Best Boroughs
Anything to threaten or harm anyone,1.9452292868866272,Worst Boroughs
Articles for use in criminal damage,7.688434282490839,Worst Boroughs
Controlled drugs,55.67776110338123,Worst Boroughs
Evidence of offences under the Act,3.3243730175067108,Worst Boroughs
Firearms,0.9048881933313009,Worst Boroughs
Fireworks,0.3181382904604586,Worst Boroughs
Offensive weapons,19.03785940804789,Worst Boroughs
Stolen goods,11.103316417894948,Worst Boroughs
