,Age range,Percentage,Group
0,10-17,21.528489835447253,Best Boroughs(169521)
1,18-24,38.41732212071404,Best Boroughs(169521)
2,25-34,22.92065139759084,Best Boroughs(169521)
3,over 34,17.108402675401443,Best Boroughs(169521)
4,under 10,0.025133970846418746,Best Boroughs(169521)
0,10-17,19.65613930913063,Worst Boroughs(231247)
1,18-24,35.5222329272858,Worst Boroughs(231247)
2,25-34,24.000723386606317,Worst Boroughs(231247)
3,over 34,20.800243587632707,Worst Boroughs(231247)
4,under 10,0.020660789344542657,Worst Boroughs(231247)
